[2025-07-09 22:48:43,611] [INFO] [django.server] "GET /static/js/modal.js HTTP/1.1" 200 2299
[2025-07-09 22:48:43,615] [INFO] [django.server] "GET /static/js/loading.js HTTP/1.1" 200 1169
[2025-07-09 22:48:43,620] [INFO] [django.server] "GET /static/js/htmx/2_0_5.min.js HTTP/1.1" 200 51019
[2025-07-09 22:48:46,755] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:48:48,980] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:48:50,447] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:48:51,366] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:49:40,027] [INFO] [django.utils.autoreload] C:\Users\User\Desktop\Hiring Platform Project\SourceCode\placeme\recruiters\views.py changed, reloading.
[2025-07-09 22:49:41,997] [INFO] [django.utils.autoreload] Watching for file changes with StatReloader
[2025-07-09 22:49:57,354] [INFO] [django.utils.autoreload] C:\Users\User\Desktop\Hiring Platform Project\SourceCode\placeme\recruiters\views.py changed, reloading.
[2025-07-09 22:49:59,239] [INFO] [django.utils.autoreload] Watching for file changes with StatReloader
[2025-07-09 22:50:01,695] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:50:01,809] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:50:01,815] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:50:02,058] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 22:50:02,061] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 22:50:02,067] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 22:50:02,071] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 22:50:02,074] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 22:50:02,077] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 22:50:02,080] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 22:50:02,083] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 22:50:02,087] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 22:50:02,091] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 22:50:02,094] [INFO] [django.server] "GET /static/css/recruiters/table.css HTTP/1.1" 200 5591
[2025-07-09 22:50:02,100] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 22:50:02,105] [INFO] [django.server] "GET /static/js/recruiters/position-manager.js HTTP/1.1" 200 1392
[2025-07-09 22:50:02,110] [INFO] [django.server] "GET /static/js/cookie/js.cookie.min.js HTTP/1.1" 200 1731
[2025-07-09 22:50:02,136] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 22:50:02,139] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 22:50:02,142] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 22:50:02,145] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 22:50:02,146] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 22:50:02,152] [INFO] [django.server] "GET /static/js/recruiters/post.js HTTP/1.1" 200 2783
[2025-07-09 22:50:02,152] [INFO] [django.server] "GET /static/js/recruiters/table.js HTTP/1.1" 200 1049
[2025-07-09 22:50:02,173] [INFO] [django.server] "GET /static/js/recruiters/post-form-submit.js HTTP/1.1" 200 2610
[2025-07-09 22:50:02,173] [INFO] [django.server] "GET /static/js/recruiters/nav.js HTTP/1.1" 200 5681
[2025-07-09 22:50:02,182] [INFO] [django.server] "GET /static/js/jobseeker/notification.js HTTP/1.1" 200 1030
[2025-07-09 22:50:02,184] [INFO] [django.server] "GET /static/js/error.js HTTP/1.1" 200 3832
[2025-07-09 22:50:02,184] [INFO] [django.server] "GET /static/js/modal.js HTTP/1.1" 200 2299
[2025-07-09 22:50:02,185] [INFO] [django.server] "GET /static/js/loading.js HTTP/1.1" 200 1169
[2025-07-09 22:50:02,187] [INFO] [django.server] "GET /static/js/htmx/2_0_5.min.js HTTP/1.1" 200 51019
[2025-07-09 22:50:02,509] [WARNING] [django.request] Not Found: /favicon.ico
[2025-07-09 22:50:02,510] [WARNING] [django.server] "GET /favicon.ico HTTP/1.1" 404 6947
[2025-07-09 22:50:06,407] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 18989
[2025-07-09 22:50:06,827] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:50:12,916] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:50:17,831] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 18989
[2025-07-09 22:50:18,230] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:50:25,463] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 5200
[2025-07-09 22:50:29,050] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:50:29,080] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:50:29,084] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:50:29,085] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 22:50:29,091] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 22:50:29,091] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 22:50:29,091] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 22:50:29,092] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 22:50:29,095] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 22:50:29,098] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 22:50:29,101] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 22:50:29,103] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 22:50:29,103] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 22:50:29,107] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 22:50:29,107] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 22:50:29,109] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 22:50:29,110] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 22:50:29,110] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 22:50:29,111] [INFO] [django.server] "GET /static/css/recruiters/table.css HTTP/1.1" 200 5591
